paper1,paper2,cocitation_strength
https://openalex.org/W2214124115,https://openalex.org/W2597608082,3
https://openalex.org/W2292624613,https://openalex.org/W2409632422,3
https://openalex.org/W2292624613,https://openalex.org/W2515075153,3
https://openalex.org/W2214124115,https://openalex.org/W2417249256,3
https://openalex.org/W2132572134,https://openalex.org/W2805382151,3
https://openalex.org/W2292624613,https://openalex.org/W2803456993,3
https://openalex.org/W2292624613,https://openalex.org/W2805382151,3
https://openalex.org/W2292624613,https://openalex.org/W2417249256,3
https://openalex.org/W2326394492,https://openalex.org/W3023350488,3
https://openalex.org/W2326394492,https://openalex.org/W2597608082,3
https://openalex.org/W2214124115,https://openalex.org/W3023350488,3
https://openalex.org/W2162084786,https://openalex.org/W2803456993,3
https://openalex.org/W1971022314,https://openalex.org/W3005981547,3
https://openalex.org/W2099504029,https://openalex.org/W2907434000,3
https://openalex.org/W2578695135,https://openalex.org/W3005981547,3
https://openalex.org/W2129236002,https://openalex.org/W2578695135,3
https://openalex.org/W2326394492,https://openalex.org/W3194468518,3
https://openalex.org/W2417249256,https://openalex.org/W2919467037,3
https://openalex.org/W2129236002,https://openalex.org/W2515075153,3
https://openalex.org/W2007201594,https://openalex.org/W2129236002,3
https://openalex.org/W3194707655,https://openalex.org/W4283165077,3
https://openalex.org/W1992314144,https://openalex.org/W4283165077,3
https://openalex.org/W2409632422,https://openalex.org/W2574314595,3
https://openalex.org/W2409632422,https://openalex.org/W2597608082,3
https://openalex.org/W2162084786,https://openalex.org/W2919467037,3
https://openalex.org/W2596589504,https://openalex.org/W2810134117,3
https://openalex.org/W2099504029,https://openalex.org/W3092112515,3
https://openalex.org/W2129236002,https://openalex.org/W3194468518,3
https://openalex.org/W2515075153,https://openalex.org/W3119033176,3
https://openalex.org/W2515075153,https://openalex.org/W2810134117,3
https://openalex.org/W2417249256,https://openalex.org/W3005981547,3
https://openalex.org/W2596589504,https://openalex.org/W3005981547,3
https://openalex.org/W2810134117,https://openalex.org/W3184750000,3
https://openalex.org/W2574314595,https://openalex.org/W2596589504,3
https://openalex.org/W2567967956,https://openalex.org/W3119033176,3
https://openalex.org/W2789275349,https://openalex.org/W2883250303,3
https://openalex.org/W2597608082,https://openalex.org/W3023350488,2
https://openalex.org/W2797086257,https://openalex.org/W3008352878,2
https://openalex.org/W2094255732,https://openalex.org/W2919467037,2
https://openalex.org/W2578695135,https://openalex.org/W2803456993,2
https://openalex.org/W3119033176,https://openalex.org/W3184750000,2
https://openalex.org/W2107583208,https://openalex.org/W3023350488,2
https://openalex.org/W2007201594,https://openalex.org/W2574314595,2
https://openalex.org/W2578695135,https://openalex.org/W2597608082,2
https://openalex.org/W2094255732,https://openalex.org/W2404141049,2
https://openalex.org/W2472430800,https://openalex.org/W2574314595,2
https://openalex.org/W2596589504,https://openalex.org/W3008352878,2
https://openalex.org/W2472430800,https://openalex.org/W4297924435,2
https://openalex.org/W2789275349,https://openalex.org/W4297924435,2
https://openalex.org/W2797086257,https://openalex.org/W3184750000,2
https://openalex.org/W2214124115,https://openalex.org/W3032488597,2
https://openalex.org/W1971022314,https://openalex.org/W2919467037,2
https://openalex.org/W2162084786,https://openalex.org/W2326394492,2
https://openalex.org/W2292624613,https://openalex.org/W3194468518,2
https://openalex.org/W2007201594,https://openalex.org/W2567967956,2
https://openalex.org/W2409632422,https://openalex.org/W2558617245,2
https://openalex.org/W3005981547,https://openalex.org/W3008352878,2
https://openalex.org/W2132572134,https://openalex.org/W2789275349,2
